birthdate	job	ssn	username	registration	name	address	blood_group	company	user_id	mail	current_location	station_ID
1986-07-11		TMORNT40A63M278D	adelmo62	2023-10-06	Sig.ra Fernanda Golgi	"Viale Adelasia, 90
23033, Tiolo (SO)"	AB+	Borgia, Tiepolo e Morosini s.r.l.	1638	lucianobaroffio@tin.it	(Decimal('-87.154573'), Decimal('97.937702'))	590
	Artist	014-40-3874	gfritsch	2025/09/01	Markus Hethur-Plath	"Mariana-Lindner-Weg 1776
72289 Seelow"	A+	Hauffer Budig KG	2005	uzahn@googlemail.com	(Decimal('-89.1152485'), Decimal('-134.243036'))	523
2008-01-09	アイドル	070-24-1304	osamu78	2020-09-27	三浦 洋介		A+	有限会社井上銀行	520	nakajimataichi@hotmail.com	(Decimal('32.792860'), Decimal('-178.891196'))	841
	医療事務員	793-37-2467	haruka09	12/11/2024, 00:00:00	斎藤 晃	山形県横浜市瀬谷区戸塚町5丁目10番17号 上野公園コート452	B+	有限会社森建設	1981	yumiko50@yahoo.com	(Decimal('32.9227315'), Decimal('1.746653'))	642
		531-49-5075	alicja64	06/13/2025, 00:00:00	Wencke Häring	"Wellerstraße 8625
80939 Tirschenreuth"	B-	Jungfer	1170	trautebluemel@gmx.de	(Decimal('24.1826875'), Decimal('64.080123'))	228
1911-03-11		741-28-3550	shasegawa	2018-11-25	木村 舞	奈良県横浜市青葉区轟20丁目12番13号	A-	坂本運輸株式会社	79	lnakamura@gmail.com	(Decimal('-71.0444565'), Decimal('33.730119'))	355
		37289051602	josue28	2023/02/06	Dr. Eduardo Almeida		O+	Caldeira S.A.	1552	rochaanthony@uol.com.br	(Decimal('33.6728505'), Decimal('50.703745'))	738
1953-05-30		ZPPLCU33P45F403Y	chiesagabriella	12 Apr 2022	Alessandra Tasso	"Strada Luchino, 737 Piano 6
31100, Fiera (TV)"	O+	Bataglia SPA	1707	ecanevascini@poste.it	(Decimal('57.900602'), Decimal('132.164144'))	535
		648-27-7881	stiffelhanne	21 Feb 2024	Katharine Pärtzelt MBA.	"Polina-Drewes-Gasse 4
39285 Perleberg"	AB-	Ziegert Dehmel GmbH	1110	fedor27@googlemail.com	(Decimal('-23.035391'), Decimal('116.861434'))	0
1966-11-21	Pilot, airline	685-85-3383	rhicks	2020/09/17	Barbara Adams	"USNV Murphy
FPO AP 12258"	A-	Wells, Roberts and Benson	1397	ybarton@gmail.com	(Decimal('-25.047295'), Decimal('-1.677636'))	170
		657-34-5685	henkjeannine	2020/07/13	Fatih Holsten	"Erwin-Hering-Ring 1-4
15384 Gransee"	AB+	Albers AG & Co. KGaA	1389	mesutditschlerin@googlemail.com	(Decimal('-46.065118'), Decimal('-145.048635'))	542
1947-07-01		194-11-7417	victoria47	22 Feb 2022	Gabrielle Robertson		B-	Parks Ltd	1996	jasongray@gmail.com	(Decimal('-71.973284'), Decimal('114.807471'))	243
1984-07-15	Técnico em rede	98362401524	diogo53	22 Mar 2023	Ana Lopes	"Condomínio de Nunes, 35
Cônego Pinheiro 1ª Seção
06893-655 Almeida das Flores / ES"	O+	Teixeira	82	maria-ceciliapimenta@ig.com.br	(Decimal('-33.821253'), Decimal('56.127767'))	142
1971-10-13		598-51-6101	hgoto	05/03/2022, 00:00:00	鈴木 花子		AB+	合同会社渡辺建設	967	fyamamoto@yahoo.com	(Decimal('5.791191'), Decimal('0.064843'))	576
1928-08-11		MNTLNI68R17C235A	cimarosarodolfo	20 Nov 2024	Ramona Guicciardini	"Borgo Padovano, 38 Appartamento 1
00197, Roma (RM)"	O-	Pirelli-Pucci s.r.l.	1850	ludovicasaracino@libero.it	(Decimal('-41.957682'), Decimal('-127.882505'))	496
		637-04-2620	katojun	2022/04/17	佐々木 さゆり		O-	有限会社田中情報	1581	katoyasuhiro@yahoo.com	(Decimal('7.8790645'), Decimal('131.348619'))	593
		649-76-7549	tkobayashi	06/17/2021, 00:00:00	村上 直樹	三重県富里市芝公園35丁目13番11号 パーク明石町902	A+	橋本食品株式会社	867	tanakanaoko@hotmail.com	(Decimal('89.756308'), Decimal('-67.965260'))	240
1929-05-03		32914670869	aliciacassiano	2019-10-15	Yuri Moura	"Colônia Dom Martins, 75
Barroca
63973869 Monteiro / GO"	O-	Montenegro - ME	1683	marianacasa-grande@yahoo.com.br	(Decimal('-7.999883'), Decimal('-19.798337'))	266
		30527964883	rezendejose-miguel	2020-03-29	Thiago Costela		A+	Costa	1162	bda-mata@bol.com.br	(Decimal('41.703065'), Decimal('67.970559'))	763
1986-04-07	Training and development officer	MNDMRN00H58D945Y	lmannoia	2021-12-25	Luciana Giunti	"Borgo Bergoglio, 9
74016, Massafra (TA)"	B+	Agazzi, Porzio e Giannini SPA	981	cipriano51@libero.it	(Decimal('80.5368385'), Decimal('114.843466'))	67
1974-09-02		074-81-1443	roselmangold	08/17/2021, 00:00:00	Heinz-Günther Bolander B.Sc.	"Justine-Pechel-Weg 6-6
36900 Gelnhausen"	O-	Beyer AG	411	yruppert@web.de	(Decimal('-65.787018'), Decimal('-174.970616'))	172
2002-03-23		552-71-6111	qkato	04/12/2024, 00:00:00	後藤 花子	滋賀県横浜市保土ケ谷区横林13丁目18番18号 西川クレスト658	A-	小林建設株式会社	1111	kobayashimituru@yahoo.com	(Decimal('52.514875'), Decimal('-100.696961'))	285
	Surveyor, building	437-92-4310	karen70	2021-07-14	Brian Smith	"3793 David Shoal Suite 692
Matthewville, MH 91502"	O-	Griffin-Beltran	1455	wmorrison@yahoo.com	(Decimal('86.867663'), Decimal('-2.413356'))	357
		987-66-7700	kuschklaas	05/10/2022, 00:00:00	Hans Jürgen Nerger	"Christiane-Nohlmans-Straße 26
77758 Holzminden"	B-	Scheel GmbH	210	corinnaaumann@hotmail.de	(Decimal('-34.1550995'), Decimal('70.043483'))	97
		424-43-2634	ogawamanabu	20 Nov 2020	斎藤 太一	岡山県山武郡芝山町中宮祠33丁目20番20号 クレスト百村714	B+	有限会社鈴木保険	1370	jkobayashi@hotmail.com	(Decimal('29.772386'), Decimal('-67.396841'))	102
		CMLNCL13D51C897I	greco86	2025-04-13	Erika Dellucci	"Borgo Trillini, 41
89862, Brattiro' (VV)"	O+	Cristoforetti SPA	1791	dboezio@tin.it	(Decimal('-83.206777'), Decimal('-63.257236'))	141
1945-08-06	Técnico em aviação	50674891384	aparecidaantonio	2021-10-21	Vinicius da Costa	"Rodovia de Rios, 742
Vila Ipiranga
26488-812 Siqueira / AL"	O+	Sá	1726	mirella92@ig.com.br	(Decimal('-30.2008735'), Decimal('165.124546'))	719
		NBLMLS53L12D459T	canilvittoria	2025-09-20	Giulietta Alonzi	"Rotonda Piermaria, 14
09039, Villacidro (SU)"	AB+	Pertile-Salandra Group	1772	eliana94@live.com	(Decimal('-53.7504645'), Decimal('-8.700080'))	255
1919-12-12		NVRTNO07B27E323T	pianecirillo	25 May 2019	Adriana Giacconi	"Contrada Benvenuto, 0 Appartamento 93
09099, Uras (OR)"	A-	Benedetti, Vanvitelli e Zanichelli Group	1184	bonomopellegrino@tin.it	(Decimal('14.694349'), Decimal('-104.577068'))	218
1920-04-05	Radiologista	45921703699	santosdom	11/09/2022, 00:00:00	Dra. Sara Camargo	"Largo Siqueira, 67
Alto Dos Pinheiros
15339-738 Azevedo das Pedras / SE"	A-	Silveira	210	amanda55@bol.com.br	(Decimal('-3.420955'), Decimal('-163.842587'))	825
1940-10-09	Call centre manager	NCLVCR72H02A043S	visintinifederigo	04 Jul 2019	Fernanda Granatelli	"Stretto Ugo, 162 Appartamento 48
07029, Nuchis (SS)"	B+	Nitto, Stucchi e Zarlino s.r.l.	1555	orlando77@outlook.com	(Decimal('83.2558465'), Decimal('17.697322'))	198
1930-01-29		858-04-6356	robert27	2025/08/30	Justin Green	"043 Christopher Dale Suite 657
East Ryanport, MO 85407"	B-	Hernandez, Humphrey and Nguyen	1922	taylorroberts@yahoo.com	(Decimal('62.0859115'), Decimal('113.924454'))	290
	Mathematiker	090-37-9440	roehrdanzalan	01/22/2019, 00:00:00	Dipl.-Ing. Korbinian Müller B.Sc.	"Geert-Müller-Straße 735
65194 Görlitz"	B+	Hecker Lindau AG	520	karsten95@googlemail.com	(Decimal('32.2639095'), Decimal('-68.741932'))	86
	Company secretary	NGLGNZ62A42C175A	mercantinifederigo	06/03/2022, 00:00:00	Elvira Querini	"Borgo Raimondi, 96
25026, Pontevico (BS)"	A+	Ferragamo, Piovani e Longhena s.r.l.	1614	kcorcos@tim.it	(Decimal('-78.0194485'), Decimal('-168.733256'))	204
		378-62-7397	inoueyoichi	2025/03/20	伊藤 翔太	沖縄県横浜市瀬谷区九段南17丁目15番15号 九段南パレス060	A-	株式会社中村印刷	1530	reiyoshida@gmail.com	(Decimal('-27.516273'), Decimal('-162.420617'))	229
	Fachinformatiker	084-76-7269	hermighausensabina	2019/04/05	Dr. Attila Schüler	"George-Trommler-Ring 7/7
23348 Bogen"	AB-	Jäntsch	180	dominikwaehner@hotmail.de	(Decimal('70.331658'), Decimal('120.412591'))	638
2023-02-20		DGLNNI76E49E860P	ciro13	01/17/2023, 00:00:00	Pierangelo Travaglia	"Via Costanzo, 133 Piano 3
56100, Pisa (PI)"	AB+	Contarini-Rossellini Group	1550	madernomorena@libero.it	(Decimal('-29.0065155'), Decimal('11.941810'))	670
1945-12-10	Winzer	199-45-6033	ctrapp	2020/02/02	Dipl.-Ing. Rebecca Kade B.Eng.	"Lehmannstr. 97
36257 Jülich"	AB-	Trommler Stiftung & Co. KGaA	1877	johanneheinrich@gmail.com	(Decimal('-56.5007225'), Decimal('164.315995'))	716
1999-06-26		16520798312	borgesolivia	2024/05/25	Rael Aragão	"Área Calebe Rocha, 160
Califórnia
93060869 Borges / ES"	AB+	Teixeira	1099	sabenicio@uol.com.br	(Decimal('52.9140845'), Decimal('-73.203015'))	46
		123-86-9249	tyamamoto	01 May 2023	高橋 結衣	滋賀県印西市東和町8丁目18番18号	AB+	有限会社松本通信	680	murakamijun@hotmail.com	(Decimal('45.295580'), Decimal('-91.787664'))	126
		91783640278	xaraujo	03/28/2020, 00:00:00	Dra. Emanuelly Costela	"Condomínio Maria Vitória Guerra, 18
Santa Cruz
55628917 Sampaio Alegre / ES"	A+	Vieira - EI	73	amanda93@yahoo.com.br	(Decimal('3.6970195'), Decimal('-97.456135'))	782
1913-10-24	Musician	BLLMND52L02C415V	caterinagiulietti	12 Mar 2025	Rosina Donati-Papafava		O-	Matteotti SPA	1186	roman61@fastwebnet.it	(Decimal('-61.0926645'), Decimal('104.723284'))	236
		839-48-5067	karenmills	21 Sep 2024	Lindsay Hubbard	"5433 Hayden Flat
Rittermouth, ND 29138"	B-	Willis Inc	1385	imedina@gmail.com	(Decimal('-44.635467'), Decimal('39.379967'))	234
	IT consultant	LVTVNN25E46B635H	falconestefania	2023/01/09	Martino Monti	"Canale Stefania, 12
11017, Morgex (AO)"	AB+	Telesio SPA	171	danielemazzini@vodafone.it	(Decimal('-57.347343'), Decimal('-28.511722'))	51
1987-12-26		461-37-1546	kana92	10 Jul 2019	吉田 英樹	長崎県世田谷区蟇沼28丁目11番8号 コート今戸330	AB+	有限会社後藤ガス	144	takahashitakuma@yahoo.com	(Decimal('-7.070961'), Decimal('-176.762190'))	639
1941-10-10		72960135407	andreduarte	22 Apr 2021	Isabelly da Mota	"Trevo de Monteiro
Vista Do Sol
65166-517 Andrade / PI"	B+	Garcia	1735	gael-henrique26@uol.com.br	(Decimal('65.605644'), Decimal('88.918645'))	122
		67492031831	alice82	2021/11/19	Clara Melo	"Vale da Mata, 103
Vista Alegre
97654672 Guerra das Flores / MA"	O+	Cavalcante	1912	vianaapollo@gmail.com	(Decimal('7.1469885'), Decimal('162.802794'))	352
	Scientist, research (medical)	467-37-1560	jacobjohnson	11 Aug 2019	Brian Grant	"90722 Wright Glens
Fisherburgh, AL 05555"	A-	Murray, Schroeder and Carr	1427	millerjames@hotmail.com	(Decimal('35.745250'), Decimal('-134.951869'))	627
1979-08-31		NVRRMG80A67I564N	ygori	05 Feb 2019	Caterina Caffarelli	"Via Cutuli, 120
87034, Grimaldi (CS)"	A+	Borsiere s.r.l.	503	raffaellinobevilacqua@tin.it	(Decimal('89.761822'), Decimal('-113.689351'))	250
		CMRNTL89R12D364A	luciaantonetti	06 Jun 2022	Dott. Luciana Leblanc		O+	Monteverdi, Malpighi e Giunti s.r.l.	241	fabrizioerrani@libero.it	(Decimal('73.5381035'), Decimal('-27.541226'))	4
		CNLDIA68D29C712S	tiziano88	2023-08-10	Venancio Cainero-Tarantino	"Stretto Maura, 5
51024, Pian Degli Ontani (PT)"	A-	Pasqua-Papafava Group	434	zichichigiancarlo@gmail.com	(Decimal('1.5370645'), Decimal('-6.536487'))	397
	Krankenschwester	108-08-6936	cosimokoch	16 May 2024	Mark Huhn-Zobel	"Heinzgasse 37
28164 Main-Höchst"	O+	Kaul Kabus AG	1280	harm85@gmx.de	(Decimal('-29.6771375'), Decimal('-6.498915'))	622
1956-09-29	Manufacturing engineer	BSCLDI31P20F877H	modiglianiippazio	2021-08-01	Valeria Verdone	"Rotonda Cibin, 42 Appartamento 6
08039, Tonara (NU)"	AB+	Cabrini SPA	903	atenulf96@alice.it	(Decimal('-46.5864145'), Decimal('10.168124'))	673
		452-75-5974	gitte16	26 Dec 2022	Walfried Etzold	"Nils-Hornig-Gasse 23-70
62086 Zschopau"	A+	Scheel	1772	anny83@gmail.com		474
		90415267811	lopesaylla	24 Aug 2020	Pietra Cavalcante	"Praça Jesus, 45
Unidas
47745998 Silveira de Ferreira / PR"	AB-	Gomes Albuquerque S/A	1318	da-cunhaalana@gmail.com	(Decimal('35.1558165'), Decimal('-66.461272'))	391
2010-11-15		98103427560	arthur-miguelsampaio	12/30/2023, 00:00:00	Dr. Pedro Lucas Gomes	"Chácara Gonçalves, 13
Vila Califórnia
88751594 Castro / PB"	A+	Mendonça	790	anna-liz53@gmail.com	(Decimal('-30.1676415'), Decimal('46.175609'))	443
1989-09-21		649-66-9651	marinachristoph	2024/09/09	Birgid Hartung		B-	Margraf	301	mariele23@hotmail.de	(Decimal('-77.587664'), Decimal('153.594303'))	829
2005-06-29	Travel agency manager	104-18-2720	johnsonroy	2021-10-15	Matthew Velazquez	"5587 Rubio Wall Apt. 898
Port Lauren, NY 43695"	A-	Holt and Sons	914	hebertkathryn@yahoo.com	(Decimal('-61.439678'), Decimal('62.011152'))	203
1991-09-20	音響技術者	210-33-2716	ryosukenakamura	29 Jul 2019	伊藤 健一	宮崎県川崎市多摩区月島17丁目10番15号 浅草ハイツ291	AB+	合同会社田中銀行	811	maaya94@yahoo.com	(Decimal('-17.1931585'), Decimal('98.704091'))	702
		CTLMRA76A01G190K	barbaramerisi	2022/07/02	Vincenzo Sauro	"Borgo Modigliani, 50 Appartamento 14
39023, Tana (BZ)"	B-	Cianciolo, Ginesio e Agnesi s.r.l.	1923	serenamaderno@gmail.com	(Decimal('-59.851060'), Decimal('149.777462'))	315
1945-10-11	Friseur	254-61-6325	vmosemann	06/18/2022, 00:00:00	Geza Tlustek		AB+	Dussen van AG & Co. KGaA	466	pmentzel@web.de	(Decimal('48.710935'), Decimal('95.916537'))	818
		112-93-5549	emolina	19 Nov 2024	Samantha Kelley	"392 Hall Points Suite 493
Port Alyssa, MS 44193"	A-	Elliott-Fowler	425	hsolomon@yahoo.com	(Decimal('44.0273595'), Decimal('125.772543'))	186
		737-50-6144	watanabeyumiko	26 Dec 2021	藤田 学	広島県昭島市脚折40丁目10番3号	B-	合同会社高橋運輸	368	osamu38@yahoo.com	(Decimal('-9.7984375'), Decimal('-141.787322'))	64
1930-10-24		391-20-8244	kevin21	26 Feb 2019	Christopher James	"740 George Island Apt. 429
Ronaldfort, AZ 43597"	AB-	Johnson-Stephens	786	sampsondana@yahoo.com	(Decimal('20.2239505'), Decimal('148.148406'))	686
1952-06-21		130-93-1789	peter80	2020/10/31	Lawrence Fowler	"0633 Keith Cape Suite 381
Ryanmouth, GU 88238"	B+	Shepherd and Sons	188	robert11@hotmail.com	(Decimal('25.1088375'), Decimal('73.556728'))	24
		152-58-1625	keithhall	05 May 2019	Kelly Wall PhD	"4366 James Isle
New Travis, MH 71928"	A-	Hernandez LLC	639	leenicole@yahoo.com	(Decimal('70.4498395'), Decimal('-168.093641'))	837
1993-11-11	Pathologist	SNSNTL43H61D593M	cromagnoli	05/01/2024, 00:00:00	Raffaella Viola	"Viale Gianna, 26
92024, Canicatti' (AG)"	O+	Castelli, Jilani e Mannoia Group	1510	michelangelo34@gmail.com	(Decimal('33.7084525'), Decimal('-88.561155'))	780
		189-78-2639	fdonaldson	2019/03/14	Amanda Wagner		AB+	Davis-Smith	857	ryanhannah@yahoo.com	(Decimal('11.458974'), Decimal('172.319436'))	514
1948-02-22	Fresador	62948715067	moraesalexandre	04/09/2019, 00:00:00	Maria Julia Oliveira	"Chácara Benjamin Ribeiro, 21
Vila Puc
90890-911 Pimenta / RN"	O-	Ribeiro	79	da-pazana-julia@uol.com.br	(Decimal('47.763132'), Decimal('-90.925027'))	64
1955-12-10		505-04-0643	isabellepruschke	23 Jan 2019	Dogan Mangold B.Eng.	"Thorben-Binner-Allee 4/9
38371 Burg"	A+	Pergande Barth Stiftung & Co. KGaA	1241	wirthalice@gmail.com	(Decimal('-18.5983755'), Decimal('1.304519'))	809
1911-07-17	Nature conservation officer	SCHLSI77T09C536Y	tvivaldi	2021/08/08	Fernanda Filzi	"Incrocio Galeati, 599 Piano 0
93011, Butera (CL)"	A+	Argurio, Ferrara e Cesaroni SPA	1677	grazielladraghi@yahoo.com	(Decimal('-48.458356'), Decimal('-5.210152'))	0
		491-22-0821	fschaaf	31 Jan 2022	Erdal Hahn	"Johannweg 36/31
27952 Gadebusch"	A+	Rose Seip AG	844	herrmannann@gmail.com	(Decimal('-4.185228'), Decimal('162.349861'))	328
2018-12-03		022-26-0974	cwatanabe	08/24/2020, 00:00:00	松本 晃	熊本県横浜市青葉区芝大門41丁目8番1号	A-	鈴木食品株式会社	566	nakamuraasuka@yahoo.com	(Decimal('-53.363471'), Decimal('-94.461969'))	233
		SGRGLI00A23A183S	enziotarchetti	18 Apr 2023	Ruggero Cesaroni-Morosini	"Strada Fabia, 58 Appartamento 11
01024, Castiglione In Teverina (VT)"	AB-	Lupo-Canali SPA	1762	pradafausto@gmail.com	(Decimal('-84.0957645'), Decimal('175.459496'))	832
		755-56-6877	ellisbeverly	2022-04-19	Kayla Jones		B+	Lopez-Hamilton	370	lisawalker@gmail.com	(Decimal('76.8957895'), Decimal('-108.065895'))	719
		74028315662	tnunes	11 May 2024	Thales Cavalcanti	"Condomínio Noah Albuquerque, 79
Sport Club
15939-871 Campos da Prata / TO"	AB+	Souza	818	ninaguerra@bol.com.br	(Decimal('40.447517'), Decimal('-53.977803'))	645
	Financial planner	TNNNTL13T05E155H	xbottaro	07/29/2019, 00:00:00	Sig. Tullio Tasca	"Canale Panatta, 445
47019, Tredozio (FC)"	A+	Carocci, Smirnoff e Matteotti e figli	1238	fabrizia93@hotmail.it	(Decimal('88.9381495'), Decimal('21.300046'))	234
		NGLRLD93H69C529E	tonia31	18 Feb 2024	Allegra Versace	"Rotonda Malatesta, 127
06010, Citerna (PG)"	O+	Serlupi-Martucci Group	357	ptropea@libero.it	(Decimal('-3.2413465'), Decimal('-176.602525'))	160
1939-05-17		MRLMSM51P63I253A	fuselifabrizio	2023/12/16	Gianna Alfonsi-Sermonti	"Vicolo Passalacqua, 2
45032, Bergantino (RO)"	A-	Scotti, Vasari e Contarini Group	318	damiano43@vodafone.it	(Decimal('-16.044306'), Decimal('-157.576877'))	278
1994-06-20	Empresário	45176392828	macedoaurora	2019-03-12	Alana Mendonça		O-	Silveira - ME	78	pmoreira@yahoo.com.br	(Decimal('-69.507445'), Decimal('90.157245'))	750
1960-05-27	Armed forces operational officer	581-34-8165	miguelwhitehead	21 Apr 2022	Elizabeth Sanchez	"2081 Laura Roads Suite 693
Vincentville, MD 18470"	A-	Nelson-Johnson	1693	clarktabitha@gmail.com	(Decimal('52.659378'), Decimal('48.770522'))	388
1992-01-14		721-24-9861	inoueyosuke	03 Aug 2021	木村 結衣		A+	藤井通信有限会社	239	hikeda@yahoo.com	(Decimal('32.779203'), Decimal('173.282947'))	449
2005-07-13		PTRRRA18D13B749R	qfuseli	2025/09/16	Priscilla Donà	"Stretto Zabarella, 23
28899, Arola (VB)"	B+	Metella Group	533	yruggieri@tim.it	(Decimal('-27.5176025'), Decimal('-83.176850'))	89
2012-12-03		20734816987	pietroandrade	2022/11/18	Dra. Ísis Cardoso	"Vila Ísis Mendonça, 19
Vila Sesc
14908067 Rezende / MA"	O+	da Paz Vasconcelos e Filhos	1687	manuela51@bol.com.br	(Decimal('-35.387811'), Decimal('-57.232047'))	402
		676-88-5531	shoheitanaka	2024-12-24	佐藤 篤司		O+	株式会社田中保険	1188	satotakuma@gmail.com	(Decimal('-16.4326525'), Decimal('77.821551'))	591
		408-51-3352	teresa21	09 Oct 2021	William Brown	"832 Allen Curve
New Shelby, MA 92003"	B+	Carter, Chavez and Serrano	1771	christinamiller@yahoo.com		775
1954-06-30		552-19-3983	elfijacob	15 May 2025	Dr. Stephan Höfig	"Strohallee 84
70196 Parchim"	B-	Siering	1198	mathilde07@gmx.de	(Decimal('-66.0513805'), Decimal('164.512244'))	200
2013-12-21		89604312731	sasophie	06/28/2021, 00:00:00	Cauê Camargo	"Trecho Luna da Cruz, 28
Garças
28587614 Barbosa / PA"	B-	Oliveira	674	rezendelorenzo@uol.com.br	(Decimal('-33.1122025'), Decimal('65.607281'))	534
1978-02-25		659-87-7701	hurstcarol	2022-06-25	Kimberly Duncan	"Unit 2919 Box 9191
DPO AP 23421"	O+	Allen-Hodge	1301	ksmith@hotmail.com	(Decimal('41.354970'), Decimal('-134.734765'))	691
		641-28-4393	hessmonique	13 Sep 2023	Hildburg Reichmann B.Sc.	"Liesa-Wagenknecht-Ring 44/74
38948 Freudenstadt"	O-	Hettner GmbH	1069	eoestrovsky@gmx.de	(Decimal('47.4516125'), Decimal('-28.718374'))	438
1991-06-26		DLBCLR84D53F156E	pasqualetebaldi	2024-05-10	Dott. Claudio Zarlino	"Contrada Curci, 85
63071, Castel Di Croce (AP)"	O+	Fabbri, Castelli e Boito e figli	1754	liguoricorrado@alice.it	(Decimal('85.1814065'), Decimal('-52.378151'))	41
2000-12-18		28350417617	joao-pedro80	09 Jul 2025	Gabriela Barros	"Passarela Rebeca Carvalho, 224
Olaria
91986883 Siqueira / MG"	O+	Rezende	1583	gael-henriqueguerra@hotmail.com	(Decimal('-7.658398'), Decimal('-109.785062'))	703
	Ambulante	71689205458	pachecolevi	2022-11-08	Vitor Gabriel Aragão	"Travessa Ian Rios
Vila Betânia
69604-695 Marques / MT"	AB-	Vargas S.A.	1535	freitasrodrigo@bol.com.br	(Decimal('77.0097015'), Decimal('48.362172'))	770
1984-07-09		010-03-7483	stephaniegilbert	2024/09/07	Heather Knight		O+	Reynolds-Jones	1040	ricardocooper@yahoo.com	(Decimal('-39.1661145'), Decimal('75.326465'))	476
	農家	036-24-4707	satomi98	2024-08-16	小林 くみ子		B+	株式会社斉藤鉱業	795	kaorisasaki@yahoo.com	(Decimal('-26.5012185'), Decimal('51.895921'))	807
1968-04-05		311-95-3298	lovejoseph	2023-10-31	Karen Oneal	"8611 Miller Locks Suite 627
Lake Brenda, IL 34443"	AB-	Lewis-Powell	452	leahwagner@yahoo.com	(Decimal('-23.0405315'), Decimal('-157.836003'))	397
1979-12-01		RVGVTR00D67M315E	pzito	2018-10-30	Francesco Paoletti	"Strada Casale, 376
81031, Aversa (CE)"	A-	Pisano Group	283	dionigicrispi@tele2.it	(Decimal('57.148129'), Decimal('-40.062291'))	401
		CTNGLI77M53L121Z	kcasellati	2018-11-19	Alberico Magrassi	"Rotonda Barbara, 4 Appartamento 95
53030, Belforte (SI)"	O-	Argurio-Piane Group	1341	piergiuseppe17@hotmail.com	(Decimal('-19.015472'), Decimal('-55.784676'))	308
		189-85-7280	rsmith	10 Dec 2020	Adam Pineda	"1890 Anthony Underpass Apt. 360
Lake Susan, WA 21009"	AB+	Lopez-Daniel	784	tim81@gmail.com	(Decimal('-81.4699565'), Decimal('31.957670'))	234
		427-39-2457	heinz-werner28	2020-12-30	Jacek Tröst B.A.	"Helga-Gute-Straße 25-68
02624 Badibling"	A-	Vollbrecht AG	1625	harold88@web.de	(Decimal('73.9051765'), Decimal('30.569080'))	84
	Pathologist	465-77-0218	chase56	2020/12/03	Jennifer Fischer	"48760 Leslie Club Suite 652
Mcknightbury, MP 64130"	A-	Davis, Gallagher and Frank	785	matthewhuerta@yahoo.com	(Decimal('-22.129147'), Decimal('-85.891114'))	428
1998-02-10		137-28-9086	yoichi68	2022/12/10	吉田 里佳	沖縄県山武郡芝山町平河町23丁目19番18号 中宮祠シティ367	O-	株式会社加藤建設	1774	yutasaito@hotmail.com	(Decimal('62.9234015'), Decimal('106.943139'))	381
